0.000000	0
0.100000	30530000
0.200000	34000000
0.300000	34255000
0.400000	34070000
0.500000	34440000
0.600000	34255000
0.700000	33775000
0.800000	34345000
0.900000	33560000
1.000000	33365000
1.100000	33250000
1.200000	34210000
1.300000	34835000
1.400000	34885000
1.500000	35425000
1.600000	22055000
1.700000	0
1.800000	0
1.900000	0
2.000000	0
2.100000	0
2.200000	0
2.300000	0
2.400000	0
2.500000	0
2.600000	0
2.700000	0
2.800000	0
2.900000	0
3.000000	0
3.100000	0
3.200000	0
3.300000	0
3.400000	0
3.500000	0
3.600000	0
3.700000	0
3.800000	0
3.900000	0
4.000000	0
4.100000	0
4.200000	0
4.300000	0
4.400000	0
4.500000	0
4.600000	0
4.700000	0
4.800000	0
4.900000	0
5.000000	0
5.100000	0
5.200000	0
